Price,Product Name,Ram
"₹9,999","Asus ZenFone Max Pro M2 (Blue, 32 GB)",3.0 GB RAM | 32 GB ROM | Expandable Upto 2 TB
"₹13,999","Asus ZenFone Max Pro M2 (Blue, 64 GB)",6.0 GB RAM | 64 GB ROM | Expandable Upto 2 TB
"₹9,999","Asus ZenFone Max Pro M2 (Titanium, 32 GB)",3.0 GB RAM | 32 GB ROM | Expandable Upto 2 TB
"₹11,999","Asus ZenFone Max Pro M2 (Blue, 64 GB)",4.0 GB RAM | 64 GB ROM | Expandable Upto 2 TB
"₹11,999","Asus ZenFone Max Pro M2 (Titanium, 64 GB)",4.0 GB RAM | 64 GB ROM | Expandable Upto 2 TB
